q,rvnm,stcd,stnm,tm,wptn,z
3630,鄱阳湖,62601600,湖口,1780243200000,5,17.040
3730,鄱阳湖,62601600,湖口,1780246800000,5,17.050
3440,鄱阳湖,62601600,湖口,1780250400000,4,17.020
3730,鄱阳湖,62601600,湖口,1780254000000,5,17.030
3150,鄱阳湖,62601600,湖口,1780257600000,4,17.010
3600,鄱阳湖,62601600,湖口,1780261200000,5,17.020
3820,鄱阳湖,62601600,湖口,1780268400000,6,17.030
4230,鄱阳湖,62601600,湖口,1780272000000,5,17.050
3830,鄱阳湖,62601600,湖口,1780290000000,6,17.050
4120,鄱阳湖,62601600,湖口,1780308000000,5,17.040
3920,鄱阳湖,62601600,湖口,1780329600000,5,17.040
鄱阳湖,62601600,湖口,1780344000000,6,17.020
3750,鄱阳湖,62601600,湖口,1780351200000,4,17.010
3960,鄱阳湖,62601600,湖口,1780354800000,5,17.020
4500,鄱阳湖,62601600,湖口,1780369200000,5,17.040
4350,鄱阳湖,62601600,湖口,1780387200000,5,17.025
4180,鄱阳湖,62601600,湖口,1780401600000,4,17.010
4010,鄱阳湖,62601600,湖口,1780416000000,4,17.000
4150,鄱阳湖,62601600,湖口,1780426800000,5,17.000
鄱阳湖,62601600,湖口,1780437600000,6,16.980
4340,鄱阳湖,62601600,湖口,1780441200000,6,16.980
4580,鄱阳湖,62601600,湖口,1780459200000,6,16.970
4930,鄱阳湖,62601600,湖口,1780473600000,4,16.970
5110,鄱阳湖,62601600,湖口,1780502400000,6,16.990
5660,鄱阳湖,62601600,湖口,1780545600000,5,17.000
5860,鄱阳湖,62601600,湖口,1780585200000,5,17.000
7120,鄱阳湖,62601600,湖口,1780632000000,6,16.980
7160,鄱阳湖,62601600,湖口,1780671600000,5,16.990
7480,鄱阳湖,62601600,湖口,1780714800000,4,17.000
7240,鄱阳湖,62601600,湖口,1780750800000,6,16.990
7570,鄱阳湖,62601600,湖口,1780804800000,6,16.960
6810,鄱阳湖,62601600,湖口,1780837200000,4,16.860
7050,鄱阳湖,62601600,湖口,1780891200000,6,16.740
鄱阳湖,62601600,湖口,1780934400000,6,16.790
8300,鄱阳湖,62601600,湖口,1780974000000,5,16.810
8960,鄱阳湖,62601600,湖口,1781017200000,4,16.830
8850,鄱阳湖,62601600,湖口,1781064000000,4,16.810
8690,鄱阳湖,62601600,湖口,1781103600000,4,16.780
10400,鄱阳湖,62601600,湖口,1781150400000,6,16.750
10300,鄱阳湖,62601600,湖口,1781193600000,4,16.690
10700,鄱阳湖,62601600,湖口,1781236800000,4,16.650
10800,鄱阳湖,62601600,湖口,1781276400000,4,16.590
鄱阳湖,62601600,湖口,1781323200000,6,16.570
9120,鄱阳湖,62601600,湖口,1781359200000,6,16.530
9830,鄱阳湖,62601600,湖口,1781409600000,5,16.500
10100,鄱阳湖,62601600,湖口,1781445600000,5,16.484
10900,鄱阳湖,62601600,湖口,1781496000000,4,16.449
11200,鄱阳湖,62601600,湖口,1781542800000,4,16.434
11100,鄱阳湖,62601600,湖口,1781582400000,4,16.397
11700,鄱阳湖,62601600,湖口,1781629200000,5,16.405
11600,鄱阳湖,62601600,湖口,1781668800000,4,16.354
11700,鄱阳湖,62601600,湖口,1781708400000,5,16.344
9290,鄱阳湖,62601600,湖口,1781755800000,16.220
9430,鄱阳湖,62601600,湖口,1781794800000,6,16.200
8350,鄱阳湖,62601600,湖口,1781841600000,6,16.209
6520,鄱阳湖,62601600,湖口,1781881200000,6,16.190
6790,鄱阳湖,62601600,湖口,1781928000000,6,16.209
6910,鄱阳湖,62601600,湖口,1781964000000,4,16.230
7720,鄱阳湖,62601600,湖口,1782014400000,5,16.290
7550,鄱阳湖,62601600,湖口,1782050400000,6,16.299
6240,鄱阳湖,62601600,湖口,1782100800000,6,16.370
6050,鄱阳湖,62601600,湖口,1782147600000,5,16.370
5510,鄱阳湖,62601600,湖口,1782183600000,5,16.460
5560,鄱阳湖,62601600,湖口,1782226800000,5,16.610
5750,鄱阳湖,62601600,湖口,1782273600000,5,16.750
