oq,rvnm,stcd,stnm,tm,wptn,z
21400,长江干流,60106980,三峡水库,1780243200000,5,154.260
21000,长江干流,60106980,三峡水库,1780246800000,5,154.270
21000,14800,长江干流,60106980,三峡水库,1780250400000,4,154.240
21000,长江干流,60106980,三峡水库,1780254000000,6,154.240
21000,长江干流,60106980,三峡水库,1780257600000,4,154.220
21100,长江干流,60106980,三峡水库,1780261200000,4,154.200
21100,长江干流,60106980,三峡水库,1780264800000,4,154.190
22700,长江干流,60106980,三峡水库,1780268400000,4,154.100
18800,长江干流,60106980,三峡水库,1780286400000,5,154.120
23300,长江干流,60106980,三峡水库,1780308000000,4,153.770
21400,长江干流,60106980,三峡水库,1780326000000,5,153.400
21100,长江干流,60106980,三峡水库,1780344000000,4,153.340
21100,长江干流,60106980,三峡水库,1780351200000,4,153.270
22600,长江干流,60106980,三峡水库,1780354800000,4,153.180
17200,长江干流,60106980,三峡水库,1780369200000,5,153.180
22300,长江干流,60106980,三峡水库,1780387200000,4,152.980
26600,14000,长江干流,60106980,三峡水库,1780401600000,4,152.450
21400,长江干流,60106980,三峡水库,1780416000000,6,152.340
21100,长江干流,60106980,三峡水库,1780426800000,4,152.290
21200,长江干流,60106980,三峡水库,1780437600000,4,152.190
23500,长江干流,60106980,三峡水库,1780441200000,4,152.050
17100,长江干流,60106980,三峡水库,1780459200000,5,152.130
22500,长江干流,60106980,三峡水库,1780473600000,4,151.870
21600,长江干流,60106980,三峡水库,1780502400000,4,151.170
16800,长江干流,60106980,三峡水库,1780545600000,5,151.030
20500,长江干流,60106980,三峡水库,1780585200000,5,150.200
16300,长江干流,60106980,三峡水库,1780632000000,5,150.130
20400,长江干流,60106980,三峡水库,1780671600000,5,149.340
14200,长江干流,60106980,三峡水库,1780714800000,5,149.390
23800,长江干流,60106980,三峡水库,1780750800000,4,148.600
14400,长江干流,60106980,三峡水库,1780804800000,5,148.590
24200,长江干流,60106980,三峡水库,1780837200000,4,147.780
13400,长江干流,60106980,三峡水库,1780891200000,5,148.550
17200,长江干流,60106980,三峡水库,1780930800000,5,148.530
13200,长江干流,60106980,三峡水库,1780974000000,5,149.470
21100,长江干流,60106980,三峡水库,1781013600000,5,149.210
10400,长江干流,60106980,三峡水库,1781064000000,5,150.310
13900,长江干流,60106980,三峡水库,1781103600000,5,150.230
9480,长江干流,60106980,三峡水库,1781150400000,5,151.060
13900,长江干流,60106980,三峡水库,1781190000000,5,150.900
9530,长江干流,60106980,三峡水库,1781236800000,5,151.470
13700,长江干流,60106980,三峡水库,1781272800000,5,151.370
12400,长江干流,60106980,三峡水库,1781319600000,5,151.800
16500,长江干流,60106980,三峡水库,1781355600000,4,151.620
14200,长江干流,60106980,三峡水库,1781409600000,6,151.760
17500,长江干流,60106980,三峡水库,1781442000000,4,151.510
15900,长江干流,60106980,三峡水库,1781496000000,4,151.340
16800,长江干流,60106980,三峡水库,1781542800000,4,150.920
16900,长江干流,60106980,三峡水库,1781582400000,4,150.550
18700,长江干流,60106980,三峡水库,1781625600000,4,149.920
17100,长江干流,60106980,三峡水库,1781668800000,5,149.470
20000,长江干流,60106980,三峡水库,1781708400000,4,148.780
12500,长江干流,60106980,三峡水库,1781755200000,5,148.850
16700,长江干流,60106980,三峡水库,1781794800000,5,148.670
14100,长江干流,60106980,三峡水库,1781841600000,5,148.940
19300,长江干流,60106980,三峡水库,1781881200000,5,148.250
16900,长江干流,60106980,三峡水库,1781924400000,5,148.110
19800,长江干流,60106980,三峡水库,1781964000000,5,147.690
14400,长江干流,60106980,三峡水库,1782014400000,5,147.550
20200,长江干流,60106980,三峡水库,1782050400000,5,146.980
14700,长江干流,60106980,三峡水库,1782100800000,5,146.860
